count,channel_1,channel_2,channel_3,channel_4,acc_x,acc_y,acc_z,resistance_1,resistance_2,resistance_3,resistance_4,resistance_5,timestamp,marker,class
101.0,-1000.376489,-292.009519,-843.530695,-234.042939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023465.491483,0.0,eyes_opened_movement
101.0,-1007.037251,-291.183001,-854.20063,-243.886356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023465.491493,0.0,eyes_opened_movement
102.0,-990.304939,-307.257091,-866.460022,-241.470381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023465.507011,0.0,eyes_opened_movement
102.0,-988.135797,-312.945479,-873.285339,-240.37085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023465.50702,0.0,eyes_opened_movement
103.0,-1018.122315,-296.325363,-847.854019,-242.99252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023465.507265,0.0,eyes_opened_movement
103.0,-1010.964146,-300.446733,-855.917244,-251.979499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023465.507272,0.0,eyes_opened_movement
104.0,-999.763146,-310.753897,-863.112811,-241.578838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023465.521868,0.0,eyes_opened_movement
104.0,-980.502661,-302.167087,-855.487155,-224.622131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023465.521876,0.0,eyes_opened_movement
105.0,-1002.096843,-298.389788,-840.482677,-239.349857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023465.536826,0.0,eyes_opened_movement
105.0,-1009.737459,-298.543124,-850.595366,-249.163355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023465.536836,0.0,eyes_opened_movement
106.0,-1007.575797,-319.909172,-871.239614,-253.142608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023465.537059,0.0,eyes_opened_movement
106.0,-1003.039298,-325.997729,-873.105824,-241.11509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023465.537066,0.0,eyes_opened_movement
107.0,-1013.843869,-308.610934,-848.744116,-240.075398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023465.55186,0.0,eyes_opened_movement
107.0,-1005.821784,-303.898661,-858.280861,-250.543378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023465.551869,0.0,eyes_opened_movement
108.0,-976.04096,-302.754251,-852.472796,-235.823132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023465.566911,0.0,eyes_opened_movement
108.0,-995.85495,-322.310188,-869.676336,-239.159122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023465.56692,0.0,eyes_opened_movement
