count,channel_1,channel_2,channel_3,channel_4,acc_x,acc_y,acc_z,resistance_1,resistance_2,resistance_3,resistance_4,resistance_5,timestamp,marker,class
101.0,-1009.670141,-393.942362,-930.014012,-308.921346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023684.25296,0.0,eyes_blink
101.0,-999.179721,-378.260961,-911.722161,-313.925332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023684.252969,0.0,eyes_blink
102.0,-985.618844,-377.640138,-923.992773,-321.749203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023684.267963,0.0,eyes_blink
102.0,-997.74734,-395.423362,-938.873835,-323.286302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023684.267973,0.0,eyes_blink
103.0,-999.497613,-407.675274,-941.001838,-320.163485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023684.268218,0.0,eyes_blink
103.0,-993.012626,-381.241662,-918.47268,-314.733151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023684.268225,0.0,eyes_blink
104.0,-1001.562038,-388.052019,-930.346863,-332.508895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023684.282862,0.0,eyes_blink
104.0,-985.338352,-399.365217,-945.448579,-331.779615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023684.28288,0.0,eyes_blink
105.0,-1007.022292,-415.166294,-955.87542,-332.845486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023684.29796,0.0,eyes_blink
105.0,-1013.660614,-388.927156,-921.905909,-326.027649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023684.297979,0.0,eyes_blink
106.0,-996.760006,-386.855251,-927.052011,-331.095213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023684.29822,0.0,eyes_blink
106.0,-986.770733,-398.359184,-939.42734,-326.618553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023684.298244,0.0,eyes_blink
107.0,-980.042653,-403.912935,-944.195712,-321.438791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023684.312472,0.0,eyes_blink
107.0,-997.900676,-375.822547,-908.326332,-321.524809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023684.312499,0.0,eyes_blink
